native_exponential,native_uniform_bias,eta_45_normal,eta_exponential5,eta_70_normal,native_uniform,native_exponential_bias,eta_uniform5,native_normal
South,Columbia,31,45,69,Columbia,El-Salvador,92,USA
Greece,Puerto-Rico,36,4,63,Germany,Yugoslavia,100,USA
Guatemala,Hong,56,50,73,India,Thailand,1,USA
Jamaica,Holand-Netherlands,36,11,63,Cambodia,Hungary,21,Ecuador
Italy,Canada,66,1,61,Honduras,Cambodia,60,Honduras
Mexico,China,54,13,67,Puerto-Rico,El-Salvador,59,USA
Mexico,Cambodia,30,21,69,Mexico,Dominican-Republic,74,USA
South,Scotland,36,25,72,England,Cuba,38,France
Yugoslavia,Guatemala,50,1,78,El-Salvador,Nicaragua,49,USA
Jamaica,United-States,47,19,66,Columbia,Honduras,30,USA
Jamaica,Taiwan,36,44,72,South,India,95,Puerto-Rico
Dominican-Republic,Outlying-US(Guam-USVI-etc),52,5,68,Trinadad&Tobago,Ireland,34,USA
Greece,Hungary,76,29,73,Peru,Canada,95,USA
Dominican-Republic,Cambodia,27,33,81,China,Honduras,84,USA
Portugal,Mexico,44,38,61,Peru,Canada,12,Greece
Hungary,Italy,70,30,63,Scotland,India,81,USA
Jamaica,Dominican-Republic,28,22,63,Scotland,Hungary,85,USA
Dominican-Republic,Honduras,6,6,72,Columbia,Japan,19,Mexico
Guatemala,Thailand,50,10,71,Hong,Peru,26,Greece
Holand-Netherlands,Vietnam,27,7,55,Italy,Dominican-Republic,64,USA
Yugoslavia,Hungary,77,50,71,Honduras,Cambodia,41,Scotland
Mexico,Ecuador,45,26,68,England,India,50,Ireland
Ireland,Portugal,26,67,56,France,Hungary,70,USA
Holand-Netherlands,Poland,50,1,66,Peru,Ecuador,78,USA
Laos,El-Salvador,46,2,72,Philippines,Poland,58,Greece
Holand-Netherlands,Nicaragua,31,100,67,Italy,Philippines,44,USA
Taiwan,Trinadad&Tobago,40,32,85,Germany,Canada,69,Columbia
Guatemala,China,37,12,64,Greece,India,49,USA
Guatemala,Ecuador,29,1,64,Outlying-US(Guam-USVI-etc),Cambodia,100,United-States
China,Philippines,12,1,69,Vietnam,Canada,62,Columbia
Taiwan,Laos,33,1,66,Haiti,Nicaragua,60,France
Ireland,Germany,71,1,63,Outlying-US(Guam-USVI-etc),Trinadad&Tobago,34,USA
Yugoslavia,Germany,23,1,61,Canada,Haiti,2,Haiti
Vietnam,Iran,68,46,70,England,Canada,60,USA
South,Guatemala,82,51,73,Puerto-Rico,Philippines,38,USA
Canada,China,70,24,81,Jamaica,Yugoslavia,49,Iran
Greece,France,1,17,71,El-Salvador,Honduras,48,USA
Portugal,Italy,39,1,67,Cambodia,Ecuador,66,USA
Honduras,Laos,4,23,67,Canada,Hungary,20,USA
Taiwan,Yugoslavia,65,36,67,India,Columbia,73,USA
Scotland,Hungary,36,1,62,South,Ecuador,42,USA
Canada,Vietnam,3,1,66,Jamaica,Holand-Netherlands,9,USA
Ecuador,Taiwan,100,7,69,Vietnam,Ecuador,1,Puerto-Rico
Guatemala,Holand-Netherlands,22,8,65,Taiwan,Canada,35,China
Canada,Columbia,79,12,76,Laos,Scotland,75,USA
Columbia,Hungary,67,1,67,Haiti,Poland,22,USA
Greece,Ireland,37,60,71,Ecuador,Hungary,82,USA
Laos,Puerto-Rico,27,1,74,Cuba,India,17,Poland
South,Greece,45,4,84,Italy,Canada,68,USA
Guatemala,Columbia,29,11,67,Guatemala,Hungary,55,USA
Holand-Netherlands,Nicaragua,29,86,69,Italy,Philippines,85,USA
Dominican-Republic,Honduras,30,11,79,Columbia,Japan,31,Mexico
South,El-Salvador,44,1,70,Taiwan,Honduras,21,Poland
Guatemala,Philippines,44,13,70,Jamaica,India,1,USA
Portugal,Hungary,36,48,72,Thailand,India,38,Poland
Thailand,South,66,17,78,Puerto-Rico,Hungary,77,Jamaica
Guatemala,Laos,31,38,68,Portugal,Philippines,83,USA
Taiwan,Portugal,1,1,73,Poland,South,84,USA
South,Cambodia,35,11,57,Ecuador,Hungary,34,Taiwan
Taiwan,Yugoslavia,60,32,65,India,Columbia,71,USA
Poland,El-Salvador,68,24,76,Philippines,Hungary,59,USA
Guatemala,Philippines,11,25,76,Jamaica,India,28,USA
Columbia,India,59,28,70,Greece,Portugal,27,USA
Vietnam,China,38,11,69,Greece,Poland,7,USA
Holand-Netherlands,Portugal,44,100,56,Puerto-Rico,India,11,USA
Ireland,Vietnam,49,12,65,Laos,Yugoslavia,72,USA
Greece,England,59,11,73,Holand-Netherlands,Trinadad&Tobago,75,China
South,United-States,41,27,70,India,Ecuador,76,South
Taiwan,Ireland,48,1,69,Poland,Italy,82,USA
Ireland,Ireland,68,21,77,Canada,Cambodia,100,USA
Scotland,Puerto-Rico,76,21,70,Yugoslavia,Nicaragua,77,Trinadad&Tobago
Hungary,Portugal,67,11,69,Iran,Jamaica,99,USA
Dominican-Republic,Philippines,62,12,71,El-Salvador,Dominican-Republic,82,USA
Philippines,Scotland,26,1,59,Holand-Netherlands,Ecuador,12,USA
Ireland,Guatemala,43,26,66,Canada,Outlying-US(Guam-USVI-etc),44,USA
Laos,Cuba,57,27,74,England,South,63,Jamaica
England,England,25,1,56,Iran,Hungary,70,USA
Philippines,Cambodia,60,1,75,United-States,Thailand,33,USA
El-Salvador,Peru,46,20,70,Haiti,Philippines,37,Scotland
Taiwan,Canada,47,1,56,Ecuador,Hungary,36,Philippines
Scotland,Outlying-US(Guam-USVI-etc),46,39,66,Italy,Portugal,27,USA
Canada,Poland,35,14,68,Greece,Trinadad&Tobago,82,Hong
Jamaica,Nicaragua,35,28,60,Jamaica,Ecuador,93,USA
Laos,Nicaragua,53,16,75,Jamaica,Trinadad&Tobago,66,Hungary
Cuba,Scotland,61,53,73,Cambodia,Philippines,49,Jamaica
Germany,Philippines,54,19,68,Haiti,Yugoslavia,90,USA
Greece,Outlying-US(Guam-USVI-etc),40,50,75,Holand-Netherlands,Scotland,93,USA
England,India,1,23,82,Nicaragua,Philippines,100,Iran
Holand-Netherlands,Cambodia,46,1,72,Vietnam,Cambodia,58,USA
United-States,China,82,15,63,Haiti,Scotland,86,USA
Greece,Scotland,64,11,71,Taiwan,Germany,30,USA
South,Thailand,29,1,84,Trinadad&Tobago,Canada,47,USA
Yugoslavia,Outlying-US(Guam-USVI-etc),44,1,62,Vietnam,Columbia,62,Haiti
Columbia,Hungary,74,1,66,Haiti,Poland,29,USA
Holand-Netherlands,Hungary,58,12,68,Holand-Netherlands,Thailand,70,USA
Jamaica,Laos,45,39,74,Trinadad&Tobago,United-States,30,Thailand
England,Canada,43,1,77,Canada,Poland,12,USA
Ecuador,Guatemala,30,1,78,Laos,Trinadad&Tobago,91,USA
Scotland,Holand-Netherlands,34,10,71,Scotland,Holand-Netherlands,61,France
Ecuador,Greece,55,15,64,Taiwan,Cambodia,38,Haiti
South,Canada,58,7,63,Nicaragua,Peru,19,Thailand
South,Greece,65,1,78,Italy,Canada,69,USA
Jamaica,France,42,1,62,Honduras,South,83,USA
Honduras,Dominican-Republic,19,4,78,United-States,Dominican-Republic,76,Scotland
Scotland,El-Salvador,51,12,64,Trinadad&Tobago,Philippines,98,Trinadad&Tobago
Scotland,Trinadad&Tobago,71,29,77,Vietnam,Holand-Netherlands,67,USA
South,Holand-Netherlands,26,14,64,Japan,Philippines,20,USA
Taiwan,Vietnam,47,20,77,Germany,Canada,6,USA
Scotland,Laos,32,1,75,Jamaica,Poland,85,USA
Scotland,South,91,28,77,Outlying-US(Guam-USVI-etc),Peru,1,Vietnam
India,Japan,26,15,71,Thailand,Cambodia,20,USA
Greece,France,35,9,71,Jamaica,South,99,El-Salvador
South,Philippines,72,17,73,Laos,Poland,3,Laos
Hungary,Portugal,50,40,69,Dominican-Republic,India,44,USA
Ireland,Scotland,54,1,78,Italy,Ecuador,91,USA
Ireland,Ecuador,23,25,63,South,Outlying-US(Guam-USVI-etc),9,USA
Ireland,Ireland,72,9,80,Canada,Cambodia,91,USA
Thailand,Cuba,9,6,76,El-Salvador,Ecuador,67,USA
Yugoslavia,Canada,67,22,68,Outlying-US(Guam-USVI-etc),Germany,100,USA
Portugal,France,19,25,74,Hungary,Nicaragua,18,USA
Jamaica,South,75,1,68,Jamaica,Germany,50,USA
England,United-States,51,37,71,Scotland,Columbia,79,USA
Cambodia,Poland,4,35,58,Scotland,Dominican-Republic,1,USA
Honduras,Italy,46,14,82,Vietnam,India,87,Iran
China,Philippines,57,37,74,Vietnam,Canada,58,Columbia
Yugoslavia,Ecuador,46,20,72,Poland,Philippines,89,USA
South,United-States,8,27,70,India,Ecuador,65,South
Canada,Iran,69,46,60,Ireland,Ecuador,61,USA
Holand-Netherlands,Philippines,53,23,78,France,India,53,Holand-Netherlands
Portugal,Nicaragua,10,7,72,Taiwan,Thailand,78,USA
Guatemala,Hong,26,1,81,Scotland,Haiti,11,Hong
Taiwan,Scotland,28,24,75,Poland,Philippines,63,USA
Cambodia,United-States,47,75,65,Italy,Jamaica,68,USA
Honduras,Holand-Netherlands,26,2,74,China,Philippines,80,USA
Holand-Netherlands,South,47,24,83,Hungary,Italy,53,Iran
Honduras,India,18,19,78,Cambodia,Hungary,1,Guatemala
Scotland,Philippines,32,20,71,Japan,Cambodia,11,USA
Yugoslavia,Cambodia,82,37,55,Hungary,Philippines,11,USA
England,Poland,61,48,64,Philippines,France,1,USA
India,Columbia,33,56,74,England,Cuba,72,Italy
Mexico,Haiti,73,71,66,Nicaragua,Hungary,46,USA
Yugoslavia,Honduras,29,54,64,Outlying-US(Guam-USVI-etc),Germany,10,USA
Honduras,Outlying-US(Guam-USVI-etc),31,1,72,Haiti,Ecuador,1,USA
Guatemala,Outlying-US(Guam-USVI-etc),1,84,75,Thailand,Dominican-Republic,39,USA
Taiwan,Ecuador,31,24,68,Laos,Canada,7,USA
Honduras,Hungary,77,27,75,Peru,Philippines,57,USA
Ecuador,India,42,19,72,England,Peru,52,Jamaica
South,Hong,6,1,73,Hungary,Cuba,91,USA
Guatemala,Columbia,40,26,67,Guatemala,Hungary,60,USA
China,Iran,51,8,61,Greece,Honduras,45,Peru
Ireland,Honduras,42,15,68,Dominican-Republic,India,76,USA
Jamaica,Vietnam,52,1,58,Yugoslavia,Holand-Netherlands,52,Puerto-Rico
Peru,Cambodia,44,1,67,Haiti,Italy,18,USA
South,Cuba,29,35,69,Nicaragua,Hungary,23,USA
Guatemala,Scotland,40,1,76,El-Salvador,Poland,89,USA
Jamaica,India,34,20,72,South,Poland,73,USA
Cambodia,El-Salvador,55,8,64,Thailand,Trinadad&Tobago,65,USA
Yugoslavia,Guatemala,47,1,77,El-Salvador,Nicaragua,74,USA
Taiwan,China,35,52,72,Puerto-Rico,Philippines,53,Canada
Ireland,Thailand,34,1,63,Cuba,United-States,84,Puerto-Rico
Ecuador,Scotland,21,31,63,Germany,Cambodia,67,United-States
Ireland,Ecuador,25,33,62,South,Outlying-US(Guam-USVI-etc),23,USA
Canada,United-States,36,4,67,South,India,14,USA
Guatemala,Nicaragua,70,12,78,Philippines,Cuba,56,USA
Ireland,Iran,31,1,75,Outlying-US(Guam-USVI-etc),Ecuador,85,USA
South,Poland,35,12,73,Hong,India,72,Jamaica
Taiwan,Scotland,37,6,81,Poland,Philippines,72,USA
South,Holand-Netherlands,83,42,66,Thailand,Ecuador,61,USA
Laos,Japan,32,22,71,Guatemala,Yugoslavia,46,USA
Vietnam,Scotland,35,56,75,Germany,Honduras,75,Italy
China,England,51,88,80,Mexico,China,4,Dominican-Republic
England,Portugal,30,14,69,Philippines,India,42,USA
Hungary,Greece,89,25,67,Mexico,Peru,68,Holand-Netherlands
Yugoslavia,Vietnam,49,35,60,Jamaica,Poland,97,USA
Taiwan,China,43,38,67,Puerto-Rico,Philippines,80,Canada
Dominican-Republic,South,37,34,76,Hong,Trinadad&Tobago,47,USA
South,Yugoslavia,60,48,66,Vietnam,Thailand,98,USA
South,Philippines,55,40,78,Cambodia,Canada,12,El-Salvador
Mexico,France,77,5,72,Peru,Thailand,1,USA
England,England,41,21,60,Iran,Hungary,81,USA
Greece,Yugoslavia,16,47,72,Puerto-Rico,Trinadad&Tobago,35,Yugoslavia
Laos,Puerto-Rico,25,27,64,Cuba,India,27,Poland
Taiwan,Poland,57,1,71,Ecuador,Hungary,94,USA
Greece,India,2,1,57,Haiti,Nicaragua,62,Guatemala
China,Guatemala,62,1,75,Scotland,Greece,13,Dominican-Republic
India,Outlying-US(Guam-USVI-etc),34,68,76,Jamaica,Honduras,100,Nicaragua
Holand-Netherlands,Taiwan,58,44,83,Italy,Peru,45,USA
Mexico,Laos,22,14,68,China,India,1,USA
Outlying-US(Guam-USVI-etc),Philippines,76,67,72,Outlying-US(Guam-USVI-etc),Scotland,69,USA
Guatemala,Ecuador,53,1,74,Outlying-US(Guam-USVI-etc),Cambodia,99,United-States
Cambodia,China,53,75,68,Holand-Netherlands,Ecuador,61,USA
Dominican-Republic,Cambodia,32,23,72,China,Honduras,100,USA
Jamaica,Mexico,31,21,62,Hungary,India,57,USA
Taiwan,Poland,57,4,70,Cambodia,Nicaragua,79,USA
Guatemala,Haiti,43,1,72,Laos,Italy,27,USA
Guatemala,Canada,73,43,78,Taiwan,Cuba,56,Philippines
El-Salvador,Portugal,50,1,69,Ecuador,Philippines,74,USA
Canada,Italy,45,27,66,Italy,Cambodia,57,USA
Outlying-US(Guam-USVI-etc),Thailand,67,1,66,Jamaica,India,16,USA
South,Germany,28,38,72,India,Honduras,47,Scotland
England,Haiti,41,100,63,Cuba,Iran,91,USA
Canada,Laos,44,1,65,India,Cambodia,28,Mexico
Columbia,Dominican-Republic,27,5,71,South,Hungary,41,USA
Holand-Netherlands,Portugal,47,7,55,Canada,Philippines,14,USA
Peru,Honduras,1,3,69,Laos,Dominican-Republic,75,Guatemala
Taiwan,Portugal,41,80,66,Ecuador,Thailand,34,USA
Guatemala,Holand-Netherlands,17,42,74,El-Salvador,Scotland,64,Nicaragua
Thailand,France,82,28,63,Guatemala,Hungary,22,Columbia
India,Hungary,37,9,61,Mexico,Poland,17,USA
Jamaica,Germany,63,18,59,Italy,Italy,39,USA
El-Salvador,Cuba,34,23,69,Haiti,Philippines,57,France
South,Scotland,31,22,70,Outlying-US(Guam-USVI-etc),Cuba,54,USA
England,Greece,44,16,60,South,Cuba,65,USA
England,Dominican-Republic,15,25,70,Honduras,Japan,27,Greece
Laos,Italy,57,45,63,El-Salvador,Cuba,48,USA
Mexico,Laos,31,33,66,Hungary,Holand-Netherlands,42,USA
Scotland,United-States,62,4,65,Jamaica,South,47,USA
Dominican-Republic,Nicaragua,60,1,63,Trinadad&Tobago,Hungary,26,Ecuador
Honduras,Ecuador,40,36,61,Cuba,Cuba,1,USA
Ireland,Hungary,47,36,70,France,Vietnam,40,USA
El-Salvador,Laos,30,35,75,Iran,Hungary,60,Guatemala
Greece,Hungary,31,24,60,Hungary,Scotland,74,USA
Greece,Laos,71,26,72,Laos,Jamaica,9,USA
South,India,32,48,66,Vietnam,Canada,100,Jamaica
Taiwan,Laos,76,1,66,Haiti,Hungary,15,El-Salvador
Yugoslavia,Canada,74,18,71,Outlying-US(Guam-USVI-etc),Germany,100,USA
Columbia,Japan,25,14,76,Canada,Trinadad&Tobago,78,USA
Guatemala,South,35,52,64,Mexico,Hungary,77,Dominican-Republic
Cuba,Dominican-Republic,68,1,69,Ireland,Hong,87,USA
Canada,Trinadad&Tobago,52,34,74,Haiti,Honduras,35,USA
Cambodia,Hong,64,14,81,Dominican-Republic,Greece,60,USA
Philippines,Canada,42,17,77,Hong,Iran,1,USA
Taiwan,Jamaica,88,19,67,Greece,Japan,9,Portugal
South,Ecuador,32,13,71,India,Cuba,39,USA
Canada,Thailand,51,37,69,Canada,Columbia,100,Honduras
Scotland,Philippines,52,1,69,El-Salvador,Cambodia,83,Holand-Netherlands
Scotland,Philippines,63,1,62,England,Philippines,9,Mexico
England,Jamaica,22,49,53,China,Trinadad&Tobago,18,USA
Scotland,Philippines,35,1,66,England,Philippines,30,Mexico
Guatemala,India,79,42,76,Yugoslavia,India,46,Vietnam
Cambodia,Holand-Netherlands,64,16,76,Cambodia,Philippines,43,USA
Jamaica,Holand-Netherlands,51,20,61,Taiwan,Thailand,93,USA
Taiwan,Poland,100,35,75,Cambodia,Nicaragua,91,USA
Portugal,Hungary,65,21,65,Iran,Hungary,54,USA
Mexico,Columbia,17,1,72,Portugal,Scotland,21,USA
India,Outlying-US(Guam-USVI-etc),28,53,76,Jamaica,Honduras,70,Nicaragua
Taiwan,Cambodia,61,61,64,France,Columbia,58,Mexico
South,Holand-Netherlands,65,29,65,Thailand,Ecuador,68,USA
South,Dominican-Republic,56,11,62,Honduras,Cuba,22,Taiwan
Laos,Yugoslavia,40,10,78,Outlying-US(Guam-USVI-etc),Greece,80,Laos
South,Iran,29,1,69,Columbia,Poland,31,Puerto-Rico
Ireland,Yugoslavia,22,35,61,Guatemala,Jamaica,45,USA
South,Hungary,6,24,73,Thailand,Columbia,68,USA
Jamaica,Scotland,63,20,74,Nicaragua,Honduras,49,USA
Dominican-Republic,Poland,34,19,73,Peru,Peru,34,USA
Scotland,Hungary,17,1,70,South,Ecuador,36,USA
Jamaica,Laos,43,33,78,Trinadad&Tobago,United-States,4,Thailand
Yugoslavia,Mexico,67,40,70,Laos,Greece,5,USA
Taiwan,Cambodia,43,44,71,Trinadad&Tobago,Nicaragua,75,USA
Canada,South,66,25,75,Canada,Cuba,1,Portugal
Jamaica,Outlying-US(Guam-USVI-etc),69,1,57,Thailand,Peru,79,Haiti
Germany,Canada,8,1,58,Mexico,Nicaragua,53,USA
Ireland,Taiwan,54,42,70,Ireland,Portugal,52,USA
India,Holand-Netherlands,77,1,56,Holand-Netherlands,Poland,1,Japan
Columbia,Laos,33,10,83,Canada,Ecuador,37,Cuba
Ireland,Scotland,76,9,73,Nicaragua,Philippines,100,USA
Columbia,Philippines,95,24,53,Vietnam,Holand-Netherlands,1,Ecuador
South,Nicaragua,64,28,73,Japan,Scotland,27,Nicaragua
China,Italy,17,39,63,Germany,Cambodia,100,Thailand
Cuba,Poland,59,4,66,Thailand,Hungary,86,Haiti
India,Hungary,24,3,63,United-States,Holand-Netherlands,53,Cuba
South,Germany,25,83,64,India,Honduras,53,Scotland
Laos,Yugoslavia,54,13,77,Outlying-US(Guam-USVI-etc),Greece,100,Laos
India,Japan,25,1,60,Thailand,Cambodia,17,USA
India,Holand-Netherlands,26,36,62,France,Outlying-US(Guam-USVI-etc),3,USA
Guatemala,Nicaragua,65,1,67,Laos,Philippines,82,Puerto-Rico
El-Salvador,Peru,64,27,70,Haiti,Philippines,45,Scotland
Yugoslavia,England,39,1,72,Canada,Columbia,18,USA
Jamaica,Poland,68,8,69,Japan,Dominican-Republic,100,France
Taiwan,Canada,29,1,73,Jamaica,Puerto-Rico,51,USA
Greece,Guatemala,52,1,75,El-Salvador,India,38,Cambodia
Hungary,Italy,76,10,69,Scotland,India,74,USA
Vietnam,Taiwan,39,18,66,Cuba,Honduras,1,Ecuador
Taiwan,United-States,59,3,75,Taiwan,Hungary,83,USA
India,Puerto-Rico,26,8,71,Cuba,Canada,64,Nicaragua
England,Portugal,24,35,78,Philippines,India,13,USA
Hungary,Japan,70,8,68,Portugal,Ecuador,50,USA
Laos,El-Salvador,68,23,65,Philippines,Poland,52,Greece
Taiwan,South,34,1,68,United-States,Poland,95,Holand-Netherlands
Portugal,Holand-Netherlands,20,12,72,Laos,Holand-Netherlands,100,Dominican-Republic
India,Hungary,20,46,59,Mexico,Poland,18,USA
Holand-Netherlands,Portugal,30,1,58,Canada,Philippines,17,USA
China,Cuba,46,17,51,Dominican-Republic,Thailand,73,USA
South,Poland,56,1,73,Mexico,Philippines,88,USA
Yugoslavia,Outlying-US(Guam-USVI-etc),31,1,64,Dominican-Republic,Thailand,25,Scotland
Taiwan,Poland,35,14,66,El-Salvador,Canada,47,USA
Canada,South,53,5,79,Canada,Cuba,13,Portugal
England,Nicaragua,45,1,72,Vietnam,Hungary,62,USA
Portugal,Poland,66,16,73,Ireland,Peru,61,United-States
Jamaica,Poland,54,1,55,Trinadad&Tobago,Canada,16,USA
Greece,Ecuador,20,1,72,Nicaragua,Canada,100,USA
Jamaica,Iran,65,1,74,United-States,Canada,88,Poland
England,Jamaica,19,26,66,Iran,Thailand,1,USA
Guatemala,Guatemala,38,17,59,Outlying-US(Guam-USVI-etc),Taiwan,22,USA
Laos,Outlying-US(Guam-USVI-etc),57,25,76,Honduras,Trinadad&Tobago,3,Hong
Canada,Trinadad&Tobago,22,16,73,Haiti,Honduras,15,USA
England,India,75,64,65,Trinadad&Tobago,Scotland,23,USA
Portugal,Nicaragua,38,21,79,Taiwan,Thailand,88,USA
Holand-Netherlands,Japan,38,1,69,Mexico,Hungary,64,USA
Vietnam,Cuba,39,42,73,Ireland,Cuba,85,USA
Guatemala,Canada,77,40,66,Taiwan,Cuba,53,Philippines
Ecuador,Hong,70,23,73,United-States,Canada,12,Holand-Netherlands
Mexico,Philippines,44,1,66,Scotland,Thailand,3,Poland
England,Germany,69,8,68,Hungary,Ecuador,1,Thailand
Mexico,France,39,16,57,China,Greece,38,Trinadad&Tobago
South,Poland,25,34,73,El-Salvador,Honduras,65,USA
Portugal,Taiwan,60,35,71,Italy,Thailand,48,USA
South,Columbia,27,36,74,Columbia,El-Salvador,78,USA
Portugal,Hungary,56,33,68,Iran,Hungary,79,USA
Taiwan,Holand-Netherlands,42,58,76,Ecuador,Hungary,68,Haiti
France,Ecuador,42,14,62,Hong,Cuba,35,USA
England,Laos,56,1,69,Japan,Hungary,10,Outlying-US(Guam-USVI-etc)
Honduras,Guatemala,12,30,68,Ireland,Canada,92,Vietnam
Dominican-Republic,South,39,1,76,Guatemala,Hong,52,USA
Taiwan,Scotland,42,23,68,France,India,1,USA
Scotland,Outlying-US(Guam-USVI-etc),61,69,61,Italy,Portugal,51,USA
Ireland,Holand-Netherlands,57,16,68,Scotland,Holand-Netherlands,87,USA
Taiwan,Columbia,30,8,74,Hungary,Greece,63,USA
India,Holand-Netherlands,47,1,63,France,Outlying-US(Guam-USVI-etc),10,USA
Yugoslavia,Greece,24,1,68,Japan,Thailand,100,USA
Scotland,United-States,54,1,72,Jamaica,South,50,USA
Taiwan,Vietnam,30,24,76,Germany,Canada,25,USA
South,Philippines,40,71,67,Cambodia,Canada,29,El-Salvador
Outlying-US(Guam-USVI-etc),United-States,27,1,65,Scotland,Guatemala,39,Scotland
Jamaica,Laos,1,27,64,Cambodia,Hungary,3,Puerto-Rico
Taiwan,Guatemala,72,72,80,Portugal,Peru,31,Holand-Netherlands
Ireland,Dominican-Republic,85,33,54,Germany,Honduras,50,USA
Honduras,Germany,44,1,66,Germany,Philippines,97,USA
France,Cuba,31,6,74,England,Hungary,51,India
Italy,Philippines,67,11,73,Poland,Philippines,66,USA
Mexico,Philippines,22,11,74,Scotland,Thailand,1,Poland
Yugoslavia,Philippines,15,6,75,Germany,India,88,Japan
Hong,Haiti,14,53,66,Iran,Dominican-Republic,24,Germany
Ireland,Cambodia,63,30,71,Nicaragua,Hungary,38,USA
Vietnam,India,77,10,61,Canada,Canada,14,Guatemala
Canada,Guatemala,58,36,69,Portugal,Italy,20,USA
Portugal,Greece,6,6,65,Scotland,Poland,65,USA
France,Ecuador,32,1,65,Hong,Cuba,62,USA
Guatemala,Cambodia,61,1,74,Outlying-US(Guam-USVI-etc),India,92,Cuba
South,Hong,29,24,65,Hungary,Cuba,62,USA
Taiwan,Cuba,10,1,67,Cambodia,India,27,France
Yugoslavia,Mexico,29,44,76,Laos,Canada,55,USA
Holand-Netherlands,Italy,38,17,75,Guatemala,Hungary,95,Greece
Guatemala,Haiti,23,1,67,Trinadad&Tobago,Canada,14,USA
India,Puerto-Rico,31,25,68,Cuba,Canada,81,Nicaragua
Taiwan,Hong,60,1,76,South,Hungary,100,Ireland
Germany,Puerto-Rico,41,36,72,Canada,Cuba,77,Mexico
Honduras,China,35,30,81,Hong,Columbia,27,USA
Ireland,Outlying-US(Guam-USVI-etc),46,10,73,Italy,Portugal,97,USA
Ireland,Laos,51,55,63,Cuba,Nicaragua,23,USA
Portugal,Dominican-Republic,8,1,62,Hong,Iran,18,Laos
Ecuador,Hong,75,23,70,United-States,Canada,12,Holand-Netherlands
England,Germany,38,28,74,Hungary,Ecuador,1,Thailand
Taiwan,Japan,87,19,68,Honduras,Cuba,68,Germany
Cuba,Dominican-Republic,45,1,67,Ireland,Hong,96,USA
Taiwan,Hong,80,17,75,South,Hungary,100,Ireland
Guatemala,India,55,55,74,Yugoslavia,India,40,Vietnam
Greece,Yugoslavia,28,13,72,India,Hungary,51,USA
Italy,India,46,65,74,Holand-Netherlands,South,77,Mexico
South,Poland,63,37,59,Scotland,Haiti,86,USA
Honduras,Italy,50,1,79,Vietnam,India,100,Iran
Philippines,Hong,43,20,70,Philippines,Thailand,24,USA
South,Scotland,40,17,67,Outlying-US(Guam-USVI-etc),Cuba,47,USA
South,Holand-Netherlands,22,10,68,Japan,Philippines,31,USA
Yugoslavia,Laos,43,42,73,Jamaica,Thailand,50,USA
Yugoslavia,Dominican-Republic,37,1,76,Trinadad&Tobago,Japan,25,Japan
Ireland,Columbia,39,74,76,Dominican-Republic,Philippines,74,USA
Hong,Japan,39,74,70,United-States,Thailand,41,USA
Cambodia,Germany,39,22,79,Thailand,Japan,43,South
Dominican-Republic,South,64,4,76,Guatemala,Hong,78,USA
Cambodia,United-States,25,78,77,Taiwan,Hungary,37,USA
Canada,Holand-Netherlands,46,18,70,South,Hungary,40,USA
Ireland,Cambodia,40,19,63,Ireland,South,61,USA
Peru,Honduras,45,13,70,Puerto-Rico,Canada,19,USA
South,Poland,38,8,71,Hong,India,92,Jamaica
England,Cambodia,56,1,65,Thailand,India,62,Thailand
Thailand,France,68,26,75,Guatemala,Hungary,31,Columbia
Yugoslavia,India,28,1,59,Iran,Germany,98,USA
Cambodia,Hong,79,1,75,Dominican-Republic,Greece,56,USA
Yugoslavia,Haiti,58,3,69,Philippines,Poland,1,USA
South,South,34,30,71,Italy,Ecuador,60,USA
England,Puerto-Rico,50,1,70,Japan,Thailand,93,USA
Mexico,Columbia,51,1,75,Portugal,Scotland,28,USA
Ireland,Haiti,69,12,72,South,Thailand,100,USA
Guatemala,Scotland,14,29,69,Germany,Ecuador,95,USA
Jamaica,Poland,58,17,54,France,El-Salvador,92,Trinadad&Tobago
Jamaica,Outlying-US(Guam-USVI-etc),19,1,71,Ecuador,Poland,83,Hungary
Canada,Nicaragua,42,25,74,Columbia,Dominican-Republic,63,Columbia
Greece,Philippines,27,5,70,Iran,Haiti,74,China
Mexico,Greece,39,1,61,Jamaica,Dominican-Republic,100,Iran
Taiwan,Ireland,27,49,66,France,Ecuador,26,Holand-Netherlands
Ireland,Yugoslavia,33,31,55,Guatemala,Jamaica,31,USA
Scotland,Jamaica,60,32,59,Ireland,Ecuador,75,Puerto-Rico
Greece,Poland,53,38,64,Philippines,Taiwan,23,USA
Portugal,Poland,58,1,61,Ireland,Peru,39,United-States
Ecuador,Guatemala,58,31,72,Laos,Trinadad&Tobago,100,USA
Dominican-Republic,Italy,62,14,75,Hong,Cuba,44,USA
Outlying-US(Guam-USVI-etc),Philippines,63,14,70,Outlying-US(Guam-USVI-etc),Scotland,85,USA
Taiwan,England,33,33,71,Hong,Hungary,95,China
Guatemala,Laos,42,2,78,United-States,Hungary,84,Iran
England,Germany,18,44,72,Haiti,Cuba,53,USA
Italy,Canada,61,1,85,Taiwan,Cambodia,62,USA
Jamaica,Poland,51,13,71,Philippines,Honduras,4,Peru
England,France,69,32,60,England,Thailand,82,USA
Laos,Cuba,44,30,75,England,South,42,Jamaica
